ride_id,customer_id,driver_id,pickup_datetime,drop_datetime,pickup_location,drop_location,distance_km,fare,payment_method,ride_status
R00582,C0504,D0491,2026-07-30 17:58:04.163267,2026-07-30 18:32:04.163267,Mall,Residential Area,21.6,409.8,UPI,Completed
R00583,C0262,D0324,2026-01-15 19:43:04.163288,2026-01-15 21:05:04.163288,University,Hospital,8.34,179.12,UPI,Cancelled
R00584,C0349,D0195,2025-08-19 06:25:04.163308,2025-08-19 07:06:04.163308,Railway Station,Mall,3.4,96.2,Debit Card,Cancelled
R00585,C0301,D0316,2026-02-22 14:24:04.163329,2026-02-22 15:50:04.163329,Hospital,University,11.62,259.16,UPI,Completed
R00586,C0260,D0281,2026-07-28 01:24:04.163351,2026-07-28 02:22:04.163351,IT Park,Metro Station,14.77,317.86,UPI,Completed
R00587,C0328,D0223,2025-12-20 11:31:04.163372,2025-12-20 12:49:04.163372,Bus Stand,Bus Stand,11.27,269.86,Credit Card,Cancelled
R00588,C0160,D0451,2026-06-05 15:36:04.163401,2026-06-05 16:47:04.163401,Metro Station,IT Park,16.28,378.04,Credit Card,Cancelled
R00589,C0234,D0126,2025-10-27 14:31:04.163423,2025-10-27 15:04:04.163423,University,Residential Area,22.59,478.62,UPI,Cancelled
R00590,C0804,D0104,2026-05-20 02:53:04.163444,2026-05-20 04:23:04.163444,Railway Station,University,12.57,249.26,Debit Card,Completed
R00591,C0638,D0472,2025-12-05 22:16:04.163465,2025-12-05 23:06:04.163465,Residential Area,Mall,26.93,533.74,Debit Card,Completed
R00592,C0864,D0048,2026-04-04 13:42:04.163494,2026-04-04 13:52:04.163494,Residential Area,Bus Stand,10.2,250.6,Cash,Cancelled
R00593,C0913,D0259,2025-09-09 23:44:04.163515,2025-09-10 00:40:04.163515,Mall,Bus Stand,25.82,529.76,Debit Card,Cancelled
R00594,C0856,D0407,2025-12-31 10:49:04.163537,2025-12-31 11:03:04.163537,Metro Station,Residential Area,3.32,115.76,Cash,Cancelled
R00595,C0443,D0152,2026-05-25 16:45:04.163558,2026-05-25 17:39:04.163558,Bus Stand,Metro Station,23.75,472.5,Credit Card,Cancelled
R00596,C0522,D0032,2026-02-11 11:01:04.163579,2026-02-11 12:07:04.163579,Mall,Residential Area,25.16,517.88,Debit Card,Completed
R00597,C0828,D0346,2026-05-01 09:52:04.163609,2026-05-01 10:02:04.163609,Metro Station,University,7.65,170.7,Cash,Cancelled
R00598,C0175,D0030,2026-05-10 14:34:04.163633,2026-05-10 15:00:04.163633,Mall,Residential Area,11.51,230.18,Credit Card,Cancelled
R00599,C0419,D0048,2026-07-26 18:54:04.163654,2026-07-26 20:19:04.163654,Airport,City Center,7.58,175.44,Cash,Completed
R00600,C0140,D0391,2026-02-23 10:42:04.163675,2026-02-23 12:03:04.163675,Mall,Hospital,18.15,415.7,Cash,Completed
R00601,C0149,D0338,2026-03-30 09:09:04.163696,2026-03-30 09:25:04.163696,City Center,Hospital,20.74,456.32,UPI,Cancelled
R00602,C0484,D0242,2025-11-15 02:31:04.163720,2025-11-15 02:51:04.163720,Airport,IT Park,2.89,102.02,Debit Card,Completed
R00603,C0321,D0364,2025-12-25 07:39:04.163742,2025-12-25 08:15:04.163742,Hospital,Residential Area,19.61,416.98,Cash,Completed
R00604,C0168,D0468,2026-06-12 09:55:04.163763,2026-06-12 10:09:04.163763,Bus Stand,Metro Station,18.22,393.96,Cash,Cancelled
R00605,C0958,D0309,2026-04-29 05:50:04.163784,2026-04-29 07:14:04.163784,Metro Station,Metro Station,22.62,464.16,Credit Card,Cancelled
R00606,C0492,D0374,2026-03-31 19:17:04.163805,2026-03-31 20:05:04.163805,University,City Center,8.43,196.74,Debit Card,Completed
R00607,C0008,D0087,2025-11-02 08:22:04.163826,2025-11-02 09:38:04.163826,Mall,Railway Station,24.0,524.0,Credit Card,Cancelled
R00608,C0011,D0027,2026-07-12 00:29:04.163850,2026-07-12 00:47:04.163850,Mall,Hospital,20.15,426.7,UPI,Completed
R00609,C0147,D0368,2026-04-16 07:18:04.163871,2026-04-16 08:42:04.163871,City Center,Mall,5.29,169.22,Cash,Cancelled
R00610,C0229,D0328,2025-08-30 08:35:04.163893,2025-08-30 09:41:04.163893,City Center,Residential Area,5.15,138.7,Credit Card,Cancelled
R00611,C0850,D0071,2025-10-18 12:56:04.163914,2025-10-18 13:33:04.163914,University,IT Park,19.22,407.96,Credit Card,Completed
R00612,C0284,D0278,2025-09-02 20:04:04.163935,2025-09-02 20:39:04.163935,IT Park,Metro Station,21.32,423.76,UPI,Completed
R00613,C0291,D0478,2026-03-27 14:36:04.163956,2026-03-27 15:17:04.163956,City Center,Airport,8.56,249.08,UPI,Cancelled
R00614,C0096,D0468,2026-02-28 08:04:04.163976,2026-02-28 08:25:04.163976,Mall,City Center,25.49,507.82,UPI,Completed
R00615,C0612,D0353,2026-02-05 15:50:04.163998,2026-02-05 17:02:04.163998,Airport,City Center,27.0,517.0,Credit Card,Completed
R00616,C0123,D0367,2026-01-31 08:37:04.164019,2026-01-31 08:55:04.164019,Metro Station,City Center,12.18,262.24,UPI,Completed
R00617,C0424,D0060,2026-06-28 23:29:04.164040,2026-06-29 00:26:04.164040,Airport,Bus Stand,28.45,612.1,Cash,Cancelled
R00618,C0158,D0314,2026-05-19 22:40:04.164063,2026-05-19 22:50:04.164063,University,University,11.18,224.24,Cash,Cancelled
R00619,C0558,D0041,2025-12-04 10:22:04.164091,2025-12-04 11:32:04.164091,University,Metro Station,15.88,348.84,Debit Card,Cancelled
R00620,C0467,D0149,2025-11-30 17:25:04.164114,2025-11-30 18:08:04.164114,Mall,Mall,21.28,433.04,Cash,Completed
R00621,C0879,D0168,2025-10-02 08:13:04.164136,2025-10-02 09:26:04.164136,Hospital,University,17.74,381.32,Cash,Completed
R00622,C0673,D0003,2026-02-28 15:29:04.164157,2026-02-28 16:49:04.164157,City Center,Railway Station,13.13,318.34,Cash,Cancelled
R00623,C0505,D0412,2025-11-18 22:13:04.164178,2025-11-18 22:53:04.164178,City Center,Bus Stand,14.52,323.36,UPI,Cancelled
R00624,C0411,D0401,2026-06-22 20:08:04.164204,2026-06-22 20:57:04.164204,Metro Station,IT Park,29.0,587.0,UPI,Cancelled
R00625,C0622,D0179,2025-08-17 05:46:04.164248,2025-08-17 06:02:04.164248,Metro Station,Hospital,4.97,144.46,Debit Card,Cancelled
R00626,C0448,D0018,2026-04-16 18:24:04.164279,2026-04-16 19:18:04.164279,Mall,IT Park,7.39,170.02,Credit Card,Cancelled
R00627,C0847,D0246,2026-07-04 00:58:04.164301,2026-07-04 01:36:04.164301,Metro Station,Railway Station,16.55,327.9,Cash,Completed
R00628,C0526,D0459,2026-02-17 05:13:04.164325,2026-02-17 06:03:04.164325,City Center,City Center,4.19,100.42,Debit Card,Cancelled
R00629,C0895,D0372,2026-04-13 04:51:04.164347,2026-04-13 05:22:04.164347,Residential Area,Airport,21.05,476.9,Debit Card,Cancelled
R00630,C0669,D0125,2026-07-06 02:14:04.164368,2026-07-06 03:33:04.164368,Airport,City Center,2.14,92.52,Cash,Completed
R00631,C0172,D0467,2026-02-22 20:52:04.164389,2026-02-22 22:07:04.164389,Railway Station,Bus Stand,17.05,386.9,Cash,Cancelled
R00632,C0460,D0317,2025-10-07 15:53:04.164410,2025-10-07 16:49:04.164410,Hospital,Metro Station,7.3,202.4,Credit Card,Cancelled
R00633,C0474,D0424,2026-01-25 00:58:04.164430,2026-01-25 01:58:04.164430,Airport,Residential Area,10.21,245.78,Debit Card,Completed
R00634,C0576,D0477,2026-07-16 06:52:04.164451,2026-07-16 07:35:04.164451,City Center,Airport,12.79,280.22,Debit Card,Completed
R00635,C0169,D0341,2025-09-14 19:58:04.164472,2025-09-14 21:01:04.164472,Railway Station,Metro Station,15.34,346.12,Debit Card,Cancelled
R00636,C0040,D0332,2025-12-18 23:19:04.164494,2025-12-19 00:48:04.164494,Airport,Railway Station,28.17,593.06,Cash,Completed
R00637,C0403,D0264,2025-12-18 00:07:04.164515,2025-12-18 01:34:04.164515,Residential Area,Hospital,24.89,484.02,Debit Card,Completed
R00638,C0244,D0328,2026-02-13 11:07:04.164538,2026-02-13 11:44:04.164538,Mall,Airport,17.27,373.86,Debit Card,Cancelled
R00639,C0181,D0016,2025-08-07 14:29:04.164663,2025-08-07 15:31:04.164663,Hospital,Metro Station,15.71,318.78,Cash,Completed
R00640,C0736,D0177,2026-07-30 12:12:04.164718,2026-07-30 13:08:04.164718,Railway Station,Metro Station,12.82,290.76,Cash,Cancelled
R00641,C0431,D0494,2025-08-07 07:31:04.164760,2025-08-07 07:45:04.164760,University,University,16.54,365.72,UPI,Cancelled
R00642,C0809,D0286,2026-04-04 14:03:04.164798,2026-04-04 14:27:04.164798,Metro Station,IT Park,14.86,328.48,UPI,Cancelled
R00643,C0614,D0280,2025-12-08 15:57:04.164843,2025-12-08 17:03:04.164843,University,Metro Station,14.23,338.14,Cash,Completed
R00644,C0039,D0082,2026-05-25 09:44:04.164883,2026-05-25 10:06:04.164883,City Center,Railway Station,20.0,401.0,Cash,Cancelled
R00645,C0171,D0191,2025-11-11 05:33:04.164921,2025-11-11 06:12:04.164921,Airport,Mall,26.1,545.8,Debit Card,Cancelled
R00646,C0971,D0092,2026-03-09 17:30:04.164960,2026-03-09 18:50:04.164960,City Center,University,15.62,301.16,Cash,Completed
R00647,C0902,D0468,2026-02-09 13:42:04.164997,2026-02-09 14:06:04.164997,Railway Station,Railway Station,15.31,342.58,Debit Card,Cancelled
R00648,C0020,D0380,2025-09-16 11:01:04.165042,2025-09-16 12:01:04.165042,Metro Station,Railway Station,19.48,373.64,Credit Card,Completed
R00649,C0718,D0308,2026-07-01 12:19:04.165091,2026-07-01 13:18:04.165091,University,City Center,17.5,368.0,UPI,Cancelled
R00650,C0684,D0052,2026-08-01 02:08:04.165130,2026-08-01 02:42:04.165130,Residential Area,City Center,7.77,206.86,Cash,Cancelled
R00651,C0502,D0363,2026-05-18 01:00:04.165170,2026-05-18 02:03:04.165170,Railway Station,Metro Station,20.78,453.04,Credit Card,Cancelled
R00652,C0630,D0310,2026-06-28 22:07:04.165227,2026-06-28 23:03:04.165227,Railway Station,Airport,19.49,382.82,UPI,Completed
R00653,C0963,D0385,2025-10-04 11:35:04.165272,2025-10-04 12:27:04.165272,Railway Station,Railway Station,4.76,174.68,UPI,Cancelled
R00654,C0492,D0426,2026-01-26 09:11:04.165313,2026-01-26 10:36:04.165313,Residential Area,Metro Station,28.47,568.46,UPI,Cancelled
R00655,C0804,D0307,2025-10-20 16:19:04.165359,2025-10-20 17:32:04.165359,Hospital,Metro Station,12.3,315.4,UPI,Cancelled
R00656,C0208,D0042,2025-10-20 07:15:04.165397,2025-10-20 08:04:04.165397,Railway Station,Bus Stand,25.13,481.34,Credit Card,Cancelled
R00657,C0928,D0191,2026-02-08 10:48:04.165439,2026-02-08 11:45:04.165439,University,City Center,26.42,556.56,Credit Card,Cancelled
R00658,C0004,D0123,2026-02-03 20:32:04.165482,2026-02-03 21:11:04.165482,Residential Area,Airport,6.85,216.3,Debit Card,Completed
R00659,C0326,D0308,2026-06-05 02:11:04.165522,2026-06-05 02:28:04.165522,Railway Station,IT Park,29.71,601.78,UPI,Cancelled
R00660,C0270,D0055,2026-04-24 13:57:04.165561,2026-04-24 14:58:04.165561,University,Residential Area,4.47,168.46,Cash,Completed
R00661,C0649,D0040,2025-10-20 14:46:04.165601,2025-10-20 15:36:04.165601,Railway Station,Railway Station,24.63,529.34,UPI,Completed
R00662,C0895,D0340,2026-07-01 00:23:04.165639,2026-07-01 00:39:04.165639,City Center,City Center,3.0,85.0,Cash,Cancelled
R00663,C0272,D0129,2025-11-15 13:32:04.165676,2025-11-15 14:47:04.165676,Airport,Airport,14.41,341.38,Debit Card,Completed
R00664,C0173,D0226,2026-06-04 14:34:04.165709,2026-06-04 14:51:04.165709,IT Park,Metro Station,9.49,259.82,UPI,Cancelled
R00665,C0838,D0161,2026-01-20 18:52:04.165741,2026-01-20 19:11:04.165741,City Center,Mall,24.77,529.86,Credit Card,Cancelled
R00666,C0822,D0084,2025-10-18 10:19:04.165784,2025-10-18 11:10:04.165784,University,Metro Station,16.25,312.5,Cash,Completed
R00667,C0039,D0004,2025-08-10 08:00:04.165819,2025-08-10 08:13:04.165819,Bus Stand,Mall,5.47,190.46,UPI,Cancelled
R00668,C0639,D0484,2026-02-04 19:12:04.165901,2026-02-04 19:37:04.165901,City Center,City Center,19.94,395.92,Credit Card,Cancelled
R00669,C0843,D0430,2025-08-03 03:17:04.165981,2025-08-03 03:28:04.165981,University,Hospital,16.48,381.64,Credit Card,Completed
R00670,C0168,D0109,2025-09-13 03:36:04.166049,2025-09-13 03:59:04.166049,City Center,Metro Station,15.71,372.78,UPI,Completed
R00671,C0519,D0431,2026-04-01 16:49:04.166117,2026-04-01 16:59:04.166117,Mall,University,6.84,187.12,Credit Card,Cancelled
R00672,C0616,D0116,2026-07-10 20:16:04.166157,2026-07-10 20:44:04.166157,Hospital,Railway Station,24.85,467.3,Credit Card,Cancelled
R00673,C0072,D0301,2025-10-03 19:37:04.166222,2025-10-03 19:48:04.166222,Hospital,Mall,10.56,269.08,UPI,Cancelled
R00674,C0626,D0350,2026-01-20 17:47:04.166265,2026-01-20 18:26:04.166265,University,Metro Station,3.07,137.26,Debit Card,Completed
R00675,C0935,D0016,2026-02-12 20:02:04.166299,2026-02-12 21:29:04.166299,Bus Stand,Residential Area,13.04,322.72,Debit Card,Completed
R00676,C0146,D0449,2025-10-15 00:28:04.166334,2025-10-15 01:55:04.166334,IT Park,Hospital,3.99,137.82,Debit Card,Cancelled
R00677,C0353,D0128,2026-04-07 05:07:04.166370,2026-04-07 06:05:04.166370,Residential Area,Bus Stand,17.36,390.48,UPI,Completed
R00678,C0674,D0486,2026-03-28 13:00:04.166408,2026-03-28 14:22:04.166408,University,IT Park,3.87,99.66,Cash,Cancelled
R00679,C0853,D0113,2026-07-07 11:10:04.166441,2026-07-07 12:01:04.166441,University,City Center,20.33,425.94,Cash,Completed
R00680,C0920,D0134,2025-09-01 10:18:04.166475,2025-09-01 10:50:04.166475,City Center,University,8.53,240.54,Cash,Cancelled
R00681,C0823,D0066,2026-03-13 11:04:04.166508,2026-03-13 12:11:04.166508,IT Park,Residential Area,8.31,238.58,Debit Card,Cancelled
R00682,C0756,D0417,2025-10-08 10:18:04.166544,2025-10-08 10:54:04.166544,University,Railway Station,15.33,306.94,Credit Card,Cancelled
R00683,C0097,D0245,2026-06-10 19:22:04.166590,2026-06-10 19:57:04.166590,Railway Station,Metro Station,2.65,69.7,Credit Card,Completed
R00684,C0567,D0371,2026-02-08 07:41:04.166633,2026-02-08 09:11:04.166633,Railway Station,City Center,2.09,130.62,Cash,Cancelled
R00685,C0182,D0446,2025-10-13 14:31:04.166670,2025-10-13 14:45:04.166670,City Center,Railway Station,23.59,506.62,Credit Card,Cancelled
R00686,C0766,D0242,2026-04-05 21:03:04.166704,2026-04-05 22:28:04.166704,University,IT Park,22.58,443.44,Cash,Completed
R00687,C0281,D0147,2025-10-01 11:54:04.166738,2025-10-01 12:38:04.166738,University,Metro Station,15.15,358.7,Cash,Completed
R00688,C0749,D0339,2026-03-26 06:55:04.166780,2026-03-26 08:00:04.166780,Residential Area,Residential Area,28.66,556.88,Debit Card,Completed
R00689,C0325,D0359,2026-02-09 05:12:04.166810,2026-02-09 05:54:04.166810,Residential Area,University,4.08,105.44,Cash,Completed
R00690,C0483,D0347,2026-02-05 19:43:04.166847,2026-02-05 20:14:04.166847,Airport,City Center,26.54,548.72,Credit Card,Completed
R00691,C0201,D0390,2026-01-27 06:13:04.166879,2026-01-27 07:19:04.166879,Residential Area,IT Park,9.12,189.16,Credit Card,Completed
R00692,C0372,D0103,2026-02-19 03:38:04.166901,2026-02-19 04:45:04.166901,Bus Stand,Bus Stand,11.16,247.88,Credit Card,Cancelled
R00693,C0831,D0120,2026-03-28 00:50:04.166940,2026-03-28 01:40:04.166940,University,Hospital,4.64,135.52,UPI,Cancelled
R00694,C0629,D0331,2026-06-29 15:19:04.166975,2026-06-29 16:21:04.166975,Residential Area,Mall,28.89,566.02,Cash,Completed
R00695,C0182,D0026,2025-10-28 19:59:04.166997,2025-10-28 20:10:04.166997,City Center,Airport,18.23,356.14,Credit Card,Completed
R00696,C0011,D0346,2026-04-24 06:51:04.167019,2026-04-24 07:42:04.167019,Mall,Hospital,5.64,152.52,UPI,Completed
R00697,C0272,D0261,2026-03-13 13:05:04.167041,2026-03-13 13:32:04.167041,Hospital,Residential Area,3.74,148.32,Credit Card,Completed
R00698,C0532,D0442,2025-08-13 12:42:04.167066,2025-08-13 13:21:04.167066,Hospital,Railway Station,15.81,319.58,Cash,Cancelled
R00699,C0131,D0229,2026-04-26 21:33:04.167095,2026-04-26 22:15:04.167095,IT Park,Bus Stand,14.94,361.92,Debit Card,Cancelled
R00700,C0188,D0123,2025-12-22 20:50:04.167117,2025-12-22 21:11:04.167117,Hospital,Residential Area,13.46,309.28,Credit Card,Completed
R00701,C0275,D0464,2026-07-19 09:45:04.167138,2026-07-19 10:18:04.167138,Residential Area,Metro Station,7.25,181.5,Cash,Cancelled
R00702,C0594,D0337,2025-12-15 03:33:04.167159,2025-12-15 04:29:04.167159,University,Hospital,27.61,575.98,Debit Card,Completed
R00703,C0202,D0445,2026-07-27 21:46:04.167181,2026-07-27 23:04:04.167181,Bus Stand,Metro Station,20.59,401.62,UPI,Completed
R00704,C0811,D0049,2026-05-24 08:42:04.167201,2026-05-24 09:19:04.167201,University,Hospital,10.35,246.3,Credit Card,Completed
R00705,C0581,D0018,2026-06-22 21:18:04.167250,2026-06-22 22:17:04.167250,Metro Station,City Center,28.67,598.06,Debit Card,Cancelled
R00706,C0849,D0421,2026-05-21 08:29:04.167275,2026-05-21 09:53:04.167275,Mall,Railway Station,13.68,284.24,Cash,Completed
R00707,C0694,D0425,2025-09-06 09:58:04.167296,2025-09-06 10:38:04.167296,Bus Stand,Mall,21.45,434.1,Debit Card,Cancelled
R00708,C0990,D0008,2026-05-18 15:23:04.167321,2026-05-18 15:44:04.167321,Metro Station,Mall,17.21,379.78,UPI,Cancelled
R00709,C0888,D0465,2025-09-11 03:55:04.167343,2025-09-11 04:15:04.167343,Mall,Residential Area,9.95,264.1,Debit Card,Cancelled
R00710,C0838,D0143,2026-03-16 20:37:04.167364,2026-03-16 21:06:04.167364,Railway Station,Airport,11.3,256.4,Credit Card,Completed
R00711,C0467,D0450,2025-11-28 03:45:04.167388,2025-11-28 04:13:04.167388,IT Park,Airport,25.47,485.46,Debit Card,Completed
R00712,C0444,D0491,2026-03-21 17:39:04.167409,2026-03-21 18:51:04.167409,IT Park,IT Park,11.1,270.8,UPI,Completed
R00713,C0091,D0014,2026-01-16 15:39:04.167430,2026-01-16 16:50:04.167430,IT Park,University,23.76,481.68,Debit Card,Cancelled
R00714,C0075,D0280,2025-10-18 19:30:04.167451,2025-10-18 20:51:04.167451,Metro Station,City Center,29.39,594.02,UPI,Completed
R00715,C0376,D0038,2025-08-09 05:56:04.167472,2025-08-09 07:13:04.167472,Mall,Hospital,12.96,308.28,Debit Card,Cancelled
R00716,C0664,D0421,2026-01-30 15:29:04.167493,2026-01-30 15:44:04.167493,Mall,Airport,26.84,571.12,Credit Card,Cancelled
R00717,C0418,D0267,2026-07-04 07:10:04.167514,2026-07-04 08:30:04.167514,Hospital,Residential Area,6.36,174.48,Cash,Completed
R00718,C0334,D0327,2025-11-12 22:39:04.167541,2025-11-12 23:43:04.167541,Bus Stand,City Center,18.87,413.66,Cash,Cancelled
R00719,C0239,D0291,2026-06-28 19:45:04.167563,2026-06-28 21:15:04.167563,City Center,Metro Station,26.65,521.7,UPI,Completed
R00720,C0216,D0281,2026-06-01 19:07:04.167586,2026-06-01 19:36:04.167586,Railway Station,Railway Station,13.71,323.78,UPI,Cancelled
R00721,C0795,D0443,2026-01-04 10:13:04.167608,2026-01-04 11:06:04.167608,Metro Station,Railway Station,14.7,315.6,Debit Card,Completed
R00722,C0265,D0072,2025-12-15 13:02:04.167630,2025-12-15 13:43:04.167630,Bus Stand,IT Park,27.79,580.22,Debit Card,Cancelled
R00723,C0899,D0027,2026-02-14 15:14:04.167651,2026-02-14 16:09:04.167651,Hospital,Mall,26.98,512.64,UPI,Cancelled
R00724,C0366,D0261,2025-10-16 13:58:04.167672,2025-10-16 14:33:04.167672,Mall,Airport,3.43,96.74,Cash,Completed
R00725,C0204,D0317,2026-03-08 22:08:04.167693,2026-03-08 23:05:04.167693,Hospital,Hospital,20.33,386.94,Credit Card,Cancelled
R00726,C0953,D0153,2025-09-20 10:41:04.167715,2025-09-20 12:08:04.167715,Metro Station,City Center,11.46,289.28,Credit Card,Cancelled
R00727,C0048,D0414,2025-11-11 09:38:04.167736,2025-11-11 10:54:04.167736,Metro Station,Hospital,12.55,272.9,Debit Card,Cancelled
R00728,C0764,D0001,2026-06-02 09:49:04.167759,2026-06-02 10:51:04.167759,City Center,City Center,16.56,386.08,Debit Card,Completed
R00729,C0830,D0104,2026-02-25 10:19:04.167781,2026-02-25 10:46:04.167781,Mall,University,6.26,150.68,Cash,Cancelled
R00730,C0504,D0498,2026-02-08 12:49:04.167805,2026-02-08 13:27:04.167805,Mall,Bus Stand,20.42,409.56,Debit Card,Completed
R00731,C0697,D0203,2026-02-17 09:38:04.167826,2026-02-17 10:30:04.167826,Metro Station,University,4.62,120.16,UPI,Completed
R00732,C0941,D0446,2026-06-09 08:32:04.167847,2026-06-09 09:03:04.167847,Airport,Mall,29.24,551.32,Credit Card,Cancelled
R00733,C0017,D0464,2025-10-21 06:12:04.167867,2025-10-21 07:15:04.167867,Bus Stand,IT Park,2.93,122.74,Credit Card,Cancelled
R00734,C0996,D0116,2026-04-07 21:17:04.167888,2026-04-07 22:37:04.167888,City Center,City Center,18.09,413.62,UPI,Cancelled
R00735,C0824,D0475,2025-12-14 14:06:04.167909,2025-12-14 14:54:04.167909,Residential Area,Airport,6.51,171.18,Cash,Cancelled
R00736,C0661,D0342,2025-09-09 05:23:04.167930,2025-09-09 05:53:04.167930,Metro Station,Residential Area,4.92,149.56,UPI,Completed
R00737,C0137,D0148,2025-08-05 12:18:04.167951,2025-08-05 12:30:04.167951,Residential Area,Bus Stand,16.32,330.76,Debit Card,Completed
R00738,C0163,D0077,2025-08-04 23:17:04.167974,2025-08-04 23:50:04.167974,Airport,University,15.85,363.3,Debit Card,Completed
R00739,C0700,D0205,2026-06-24 03:05:04.167996,2026-06-24 04:05:04.167996,Railway Station,Airport,12.77,277.86,Credit Card,Completed
R00740,C0720,D0296,2026-06-24 15:16:04.168019,2026-06-24 16:46:04.168019,Hospital,Bus Stand,24.66,521.88,Cash,Cancelled
R00741,C0123,D0138,2026-04-04 14:09:04.168040,2026-04-04 14:43:04.168040,Bus Stand,Bus Stand,17.69,345.42,UPI,Completed
R00742,C0947,D0179,2026-07-21 02:18:04.168061,2026-07-21 03:20:04.168061,Airport,City Center,5.62,177.16,Debit Card,Cancelled
R00743,C0920,D0041,2026-06-24 05:27:04.168089,2026-06-24 05:56:04.168089,Airport,Residential Area,3.91,93.38,Cash,Completed
R00744,C0702,D0282,2026-05-17 06:56:04.168111,2026-05-17 08:26:04.168111,IT Park,City Center,17.95,389.1,Credit Card,Cancelled
R00745,C0525,D0028,2025-12-25 06:57:04.168132,2025-12-25 07:13:04.168132,Metro Station,Airport,13.01,268.18,Debit Card,Completed
R00746,C0158,D0237,2026-05-18 22:17:04.168153,2026-05-18 23:07:04.168153,University,City Center,28.49,609.82,Cash,Cancelled
R00747,C0168,D0411,2025-09-01 00:34:04.168177,2025-09-01 01:08:04.168177,IT Park,Hospital,24.13,532.34,Credit Card,Completed
R00748,C0961,D0476,2025-08-09 18:03:04.168200,2025-08-09 18:23:04.168200,Railway Station,University,25.17,483.06,Debit Card,Completed
R00749,C0164,D0448,2026-06-28 03:02:04.168257,2026-06-28 04:17:04.168257,Airport,Metro Station,8.84,212.12,Cash,Completed
R00750,C0571,D0124,2026-01-29 21:03:04.168281,2026-01-29 21:23:04.168281,Metro Station,Mall,11.75,236.5,Debit Card,Cancelled
R00751,C0287,D0136,2025-11-16 23:44:04.168303,2025-11-17 00:55:04.168303,Mall,Hospital,4.74,130.32,Debit Card,Cancelled
R00752,C0112,D0422,2026-03-19 14:42:04.168324,2026-03-19 14:59:04.168324,Railway Station,Airport,15.71,311.78,Debit Card,Completed
R00753,C0001,D0159,2025-08-19 18:04:04.168345,2025-08-19 19:34:04.168345,Railway Station,Residential Area,15.15,349.7,Cash,Completed
R00754,C0871,D0008,2026-05-06 23:22:04.168367,2026-05-07 00:30:04.168367,Bus Stand,City Center,14.18,310.24,Debit Card,Cancelled
R00755,C0450,D0159,2026-07-03 15:31:04.168388,2026-07-03 16:13:04.168388,University,University,5.23,152.14,Debit Card,Cancelled
R00756,C0090,D0398,2025-10-24 13:33:04.168409,2025-10-24 13:46:04.168409,Bus Stand,Bus Stand,22.88,484.84,UPI,Cancelled
R00757,C0760,D0033,2025-10-27 23:53:04.168435,2025-10-28 00:57:04.168435,Airport,City Center,3.02,104.36,Cash,Cancelled
R00758,C0060,D0270,2025-10-19 20:45:04.168460,2025-10-19 21:42:04.168460,City Center,Hospital,17.9,369.2,Debit Card,Completed
R00759,C0547,D0414,2025-10-13 06:33:04.168483,2025-10-13 06:50:04.168483,Mall,IT Park,3.02,122.36,UPI,Cancelled
R00760,C0013,D0067,2026-04-23 05:20:04.168504,2026-04-23 06:27:04.168504,Airport,Metro Station,13.09,295.62,Debit Card,Completed
R00761,C0901,D0322,2025-10-09 05:46:04.168525,2025-10-09 06:39:04.168525,Bus Stand,Airport,5.64,170.52,Debit Card,Completed
R00762,C0756,D0462,2025-09-20 05:53:04.168547,2025-09-20 06:30:04.168547,Bus Stand,City Center,14.45,344.1,Credit Card,Completed
R00763,C0406,D0264,2026-05-07 09:44:04.168569,2026-05-07 10:58:04.168569,University,IT Park,20.89,415.02,Debit Card,Cancelled
R00764,C0933,D0312,2026-02-19 15:53:04.168592,2026-02-19 16:25:04.168592,IT Park,Hospital,13.68,345.24,UPI,Cancelled
R00765,C0272,D0331,2026-01-21 13:57:04.168614,2026-01-21 14:35:04.168614,City Center,University,2.1,65.8,Credit Card,Completed
R00766,C0893,D0038,2026-02-03 01:03:04.168635,2026-02-03 02:16:04.168635,Metro Station,Bus Stand,23.28,509.04,Debit Card,Completed
R00767,C0615,D0105,2026-05-08 07:29:04.168656,2026-05-08 08:50:04.168656,IT Park,Mall,17.77,410.86,UPI,Cancelled
R00768,C0967,D0282,2026-01-14 08:56:04.168682,2026-01-14 10:15:04.168682,Bus Stand,Railway Station,16.26,339.68,Credit Card,Cancelled
R00769,C0949,D0157,2026-05-05 11:59:04.168703,2026-05-05 13:09:04.168703,Metro Station,University,9.78,276.04,UPI,Completed
R00770,C0110,D0132,2026-04-25 14:30:04.168724,2026-04-25 15:14:04.168724,Airport,City Center,8.06,189.08,UPI,Cancelled
R00771,C0679,D0395,2026-07-08 16:50:04.168745,2026-07-08 17:36:04.168745,Bus Stand,Metro Station,3.51,84.18,Credit Card,Cancelled
R00772,C0259,D0395,2026-02-28 11:26:04.168766,2026-02-28 12:14:04.168766,Bus Stand,Railway Station,26.27,521.86,Debit Card,Completed
R00773,C0456,D0002,2026-04-07 08:03:04.168787,2026-04-07 09:15:04.168787,City Center,City Center,25.72,541.96,UPI,Completed
R00774,C0525,D0500,2026-02-23 21:53:04.168808,2026-02-23 23:20:04.168808,Metro Station,Railway Station,3.14,139.52,Cash,Cancelled
R00775,C0768,D0250,2025-09-14 18:28:04.168832,2025-09-14 19:01:04.168832,Hospital,Airport,28.97,614.46,Cash,Completed
